Epoch    Train Loss    Train Accuracy    Validation Accuracy
50       13.5990       0.8511            0.7300
49       14.1956       0.8578            0.6900
48       15.1399       0.8222            0.6900
47       15.2583       0.8422            0.6100
46       15.5970       0.8356            0.6000
45       14.1397       0.8533            0.6900
44       15.7266       0.8400            0.7200
43       15.5444       0.8422            0.6900
42       16.2342       0.8289            0.7000
41       15.3607       0.8422            0.6700
40       16.0886       0.8556            0.7200
39       16.5856       0.8511            0.6900
38       16.8054       0.8578            0.6900
37       17.4826       0.8289            0.7100
36       18.6080       0.8222            0.7400
35       18.8006       0.8044            0.6700
34       18.5591       0.8244            0.7100
33       19.2258       0.8244            0.7500
32       19.4843       0.8067            0.6700
31       20.2259       0.7978            0.7100
30       20.8394       0.7911            0.7500
29       21.1886       0.7978            0.6600
28       21.4017       0.7844            0.6700
27       21.9492       0.7622            0.7200
26       22.1362       0.7956            0.6900
25       22.4455       0.7800            0.7100
24       23.2465       0.7800            0.6800
23       24.0037       0.7822            0.6900
22       24.7114       0.7511            0.6100
21       24.8828       0.7533            0.7000
20       25.7429       0.7400            0.7000
19       26.0507       0.7467            0.7000
18       26.5511       0.7356            0.7200
17       26.8753       0.7333            0.6800
16       27.5529       0.7022            0.6300
15       27.4375       0.7178            0.6500
14       28.4979       0.6867            0.5900
13       28.5209       0.6911            0.7000
12       29.0548       0.6800            0.5900
11       29.4338       0.6733            0.5800
10       29.6585       0.6556            0.5600
9        29.8152       0.6533            0.5400
8        30.2058       0.6044            0.6800
7        30.3096       0.5844            0.6300
6        30.5563       0.5867            0.5500
5        30.5903       0.5733            0.6000
4        30.7992       0.5800            0.5500
3        30.9974       0.5667            0.5600
2        31.1580       0.5111            0.5000
1        31.3450       0.5222            0.5000
